sex,age,country,image,estimated_bmi
M,,Tajikistan,c8c0db677f15a50c.jpg,31.2356967846717
M,55.0,Tajikistan,815e66fba08a325c.jpg,27.4303284973989
M,,Tajikistan,bbcc3867dab64a6c.jpg,32.1961503144335
M,,Tajikistan,327ca7a4ed34d1d8.jpg,30.5432346276912
M,,Tajikistan,98c3511ee7699db5.jpg,35.9288642476508
M,53.0,Tajikistan,8abaa1f1a930427c.jpg,35.8920975559468
M,,Tajikistan,a0224fb10f5af8cf.jpg,38.0716823775434
F,,Tajikistan,ff7d63c93ff3aa2d.jpg,35.3919665768824
M,,Tajikistan,d85c2d59f0cc4a51.jpg,33.9657416994749
M,50.0,Tajikistan,df9a268b6120e8b2.jpg,35.5752459300086
M,,Tajikistan,1895416ed0e8fa2b.jpg,35.4706644335878
M,,Tajikistan,f435dbf3a57288b4.jpg,33.0934465710113
M,,Tajikistan,7bcf31a5c227f812.jpg,35.6187022840514
M,,Tajikistan,38cf839704473496.jpg,29.6039923567624
M,,Tajikistan,c69ae85ecdf59583.jpg,31.0344405204971
M,,Tajikistan,837a794700cc66ce.jpg,28.5987595643095
M,60.0,Turkmenistan,2c5436718588c829.jpg,38.7218628191529
M,57.0,Turkmenistan,f18745c5e8ff4ad0.jpg,26.0155770502495
M,,Turkmenistan,b90a8788efb185ab.jpg,35.7700563665003
M,,Turkmenistan,5e1954614e540074.jpg,32.7035891116356
M,,Turkmenistan,7842e74e4c2ce940.jpg,37.8684155941345
M,51.0,Turkmenistan,366ba13a4fe826c6.jpg,33.0449498770643
F,44.0,Turkmenistan,cfbec11428b9cbfd.jpg,34.2322660446468
M,51.0,Turkmenistan,3f86c4daa476d1af.jpg,33.1616213657042
M,58.0,Turkmenistan,b9f894a0f2f9c7eb.jpg,35.0591900304851
M,51.0,Turkmenistan,91ffc571d14707ed.jpg,33.8371924650194
M,51.0,Turkmenistan,f88fb8101dd2781e.jpg,37.6508948604298
M,49.0,Turkmenistan,e674377bbfb1ca3f.jpg,41.207834429885
M,39.0,Ukraine,e61d33565b8ecc06.jpg,35.2177977671051
M,55.0,Ukraine,53103a280144b306.jpg,36.9643479097299
M,57.0,Ukraine,b8280ae10f7f3c61.jpg,37.1449807100694
F,45.0,Ukraine,545489a426d1f579.jpg,26.657430012588
M,52.0,Ukraine,205553552913f7f1.jpg,30.7512174389451
M,49.0,Ukraine,d54655e6d19a8a10.jpg,30.0981250725505
M,50.0,Ukraine,57add3f5381c7ba0.jpg,36.2610401690205
M,41.0,Ukraine,6e887949b0e639f9.jpg,28.5444394482922
M,53.0,Ukraine,803e2522ff737960.jpg,36.4814205763217
M,45.0,Ukraine,7a75c66a5d86243f.jpg,31.0157208168186
M,55.0,Ukraine,46145efa9c543a71.jpg,32.6238518469566
M,49.0,Ukraine,759278cf9436d98e.jpg,36.1750223284063
M,41.0,Ukraine,b71cd92a7f5aade2.jpg,33.7502227775517
M,38.0,Ukraine,6cfb5ba7be494411.jpg,25.9159014073799
M,,Ukraine,f557ba56a7257e6e.jpg,32.9119673327966
M,49.0,Ukraine,e9fa352584032e81.jpg,40.3158126696442
M,52.0,Ukraine,a3d414c15bd733d4.jpg,36.5083146360394
F,52.0,Ukraine,2fe7d128d8c18f7b.jpg,24.8125063464175
F,54.0,Ukraine,a207b08eb28a4ece.jpg,33.6632356920761
